Month and Year,Cultivation of crops and animal husbandry; hunting and related service activities,Forestry and logging,Fishing and aquaculture,Coal mining,Crude oil and natural gas production,Metallurgy and metallurgy,Mining and processing of other raw materials from the ground,Mining services,Food production,Manufacture of beverages,Manufacture of textiles,Clothing making,Manufacture of leather and leather products,Manufacture of wood and of products of wood and cork; except furniture; manufacture of articles of straw and plaiting materials,Manufacture of paper and paper products,Printing and duplication of recorded material,Production of coke and refined petroleum products,Manufacture of chemicals and chemical products,Manufacture of pharmaceutical preparations and preparations,Manufacture of rubber and plastic products,Manufacture of non-metallic mineral products,Manufacture of basic metals,Manufacture of fabricated metal products; except machinery and equipment,Manufacture of computer; electronic and optical products,Manufacture of electrical and household appliances,Manufacture of other machinery and equipment nec,Manufacture of motor vehicles and trailers,Manufacture of other vehicles,Manufacture of furniture and fittings,Production; nec,Repair and installation of hardware and equipment,Electricity; gas and heating utilities; refrigeration and ventilation systems,Water supply; collection and treatment of water,Garbage collection; treatment and disposal of waste; material reuse,Decontamination and other waste treatment services,Housing construction; development of construction projects,Civil engineering,Specialized construction activities,Sale; repair and maintenance of motor vehicles and trailers,Wholesale trade; except of motor vehicles and motorcycles,Retail trade; except of motor vehicles and motorcycles,Land transport and by pipeline,Transport by sea and waterways,Air transportation,Warehousing and support activities for transport,Post and courier services,Operation of accommodation,Catering and service,Publishing activities,Production of films; videos and television material; audio recording and music publishing,Radio and television broadcasting; programming,Telecommunications,Information technology services,Information service activities,Financial services; excluding the activities of insurance companies and pension funds,Insurance companies; reinsurance companies and pension funds; other than compulsory social security,Activities related to financial services and insurance,Real estate,Legal services and accounting,Headquarters operations; operations consultancy activities,Activities of architects and engineers; technical tests and analysis,Scientific research and development,Advertising and marketing research,Other professional; scientific and technical activities,Veterinary medicine,Rental activities; except real estate leasing,Employment agency,Travel agencies; tour operators and other booking services,Security and research activities,Real estate management; cleaning services and ornamental gardening,Office services and other business services,Public administration; defense and social security,Educational activities,Health care,Care in residential homes,Social services without a stay in an institution,Creative arts and entertainment,Museum activities and other cultural activities,Financial risk and betting activities,Sports and leisure activities,Activities of NGOs,Repair of computers and objects for personal and household use,Other service activities,Housekeeping with paid staff,Service activities and home production of various products for personal use,Activities of extra territorial organisations and bodies,Working from home,Student,No work history,Uncertain
February 2000,27,24,102,1,1,3,6,,291,177,9,,7,24,10,6,14,24,2,14,1,20,12,9,26,2,,4,1,9,1,5,6,9,2,,22,,103,,47,39,97,344,24,13,8,78,17,61,113,27,3,5,12,5,2,46,2,4,4,11,,9,6,6,2,,8,1,13,4,77,28,79,173,138,55,54,23,22,1,34,27,2,48,1,,,98
March 2000,24,17,119,1,1,3,4,,295,151,7,,8,21,9,6,10,18,2,16,1,20,15,9,22,1,,3,1,6,5,6,4,10,3,,23,,107,,53,46,100,350,24,13,10,85,20,59,106,20,3,5,10,6,3,41,2,4,4,9,,12,6,10,2,,8,2,13,7,64,23,77,171,129,53,54,17,22,1,33,29,2,50,1,,,94
April 2000,19,17,81,,1,2,2,,288,155,5,,8,16,10,4,11,20,1,16,1,21,17,8,18,1,,3,2,5,4,7,5,9,2,,22,,79,,47,33,95,322,22,12,7,66,22,49,97,24,1,4,9,6,4,31,3,4,4,8,,12,4,9,2,,8,2,12,5,59,19,75,157,123,57,49,12,23,1,30,32,3,46,1,,,90
May 2000,16,14,58,,1,1,1,,230,119,2,,6,12,7,4,9,17,1,12,1,19,14,6,15,1,,5,,2,4,6,6,6,,,20,,53,,31,22,85,307,14,11,6,62,21,44,97,16,1,6,7,7,4,30,3,4,5,8,,12,5,7,3,,5,1,8,4,58,12,68,161,113,50,48,14,17,,35,30,1,50,1,,,79
June 2000,12,7,51,,1,1,2,,160,118,2,,6,16,7,2,6,19,1,11,1,19,12,6,9,,,4,,4,3,3,5,5,1,,16,,43,,29,19,71,271,9,9,6,72,19,31,96,15,1,4,12,5,5,33,5,4,5,9,,9,6,7,3,,4,1,4,2,46,12,63,292,93,50,39,11,13,,30,24,1,45,1,,,70
July 2000,16,7,48,,,2,3,,159,96,3,,2,17,7,2,8,20,,11,1,22,10,6,8,,,3,,4,4,2,3,4,1,,11,,35,,26,22,72,256,7,8,7,60,17,23,84,15,1,5,10,6,4,30,4,3,4,9,,8,4,5,2,,4,1,3,2,39,10,49,304,95,37,37,9,11,,22,24,1,43,1,,,68
August 2000,13,8,49,,,1,3,,132,81,2,,2,23,5,2,8,22,1,12,,22,10,7,10,,,3,,6,3,3,3,3,1,,13,,32,,18,19,60,223,12,10,6,57,12,23,79,20,1,4,9,7,3,29,3,3,5,6,,9,4,7,1,,2,2,8,2,41,11,44,187,84,35,41,11,10,,21,22,2,39,1,,,62
September 2000,9,7,57,,,1,2,,124,58,3,,4,22,6,1,7,14,,9,,22,11,4,7,,,1,,5,1,5,2,2,,,15,,25,,19,15,62,199,10,7,5,46,17,28,62,18,1,4,7,6,3,33,4,3,5,6,,7,2,7,1,,2,2,6,2,35,10,43,113,78,33,37,9,12,,22,18,1,29,1,,,52
October 2000,10,7,56,,,1,2,,120,74,3,,6,26,6,2,9,13,1,7,,23,9,6,8,,1,5,,7,1,9,,2,,,14,,29,,18,16,58,215,8,9,5,45,18,31,71,22,2,5,9,5,3,33,3,4,4,8,,7,5,6,1,,4,3,11,2,29,14,44,103,81,29,30,8,11,,24,22,2,29,1,,,49
November 2000,20,12,76,,,3,3,,174,139,1,,6,30,6,3,10,10,2,8,1,21,4,6,13,,,4,1,11,2,10,2,3,,,18,,57,,30,19,60,240,9,10,6,54,20,40,75,24,4,4,8,6,2,33,3,3,5,6,,7,4,9,2,,5,2,12,2,41,16,53,111,86,32,33,8,15,,23,20,3,35,1,,,65
December 2000,24,15,133,,1,3,6,,382,149,1,,5,30,10,5,12,14,2,9,1,21,7,4,14,,,5,1,10,1,19,3,4,,,16,,90,,45,29,64,260,9,8,9,100,18,45,93,24,3,3,9,8,2,32,3,3,4,8,,6,4,11,,,5,4,13,2,45,19,45,124,85,44,35,10,15,,28,21,4,35,1,,,75
January 2001,19,11,88,,,1,8,,340,163,2,,7,28,14,28,13,18,2,12,1,22,6,5,20,,,5,2,11,2,21,4,2,1,,19,,117,,51,38,67,312,12,16,7,83,25,57,118,24,1,4,9,7,3,32,5,3,3,9,,7,3,10,1,,9,3,12,2,50,18,49,129,94,44,35,11,15,,30,19,4,48,1,,,69
February 2001,18,13,91,,,2,6,,289,163,4,,12,29,13,12,12,13,2,12,1,27,6,4,23,,1,4,1,9,3,18,4,3,1,,22,,105,,50,32,65,315,19,11,8,77,25,60,110,25,3,7,9,8,3,31,2,3,6,6,,6,1,8,1,,8,3,10,6,50,19,54,134,90,50,40,14,13,,23,19,3,43,1,,,66
March 2001,20,9,73,,,2,9,,241,137,2,,10,26,14,9,12,19,2,8,1,26,7,4,18,,1,2,,5,4,20,1,4,2,,18,,101,,44,25,70,300,15,12,13,70,17,54,89,25,3,3,8,10,4,28,3,3,6,7,,7,2,7,3,,7,3,9,4,50,18,50,135,83,56,38,13,13,,23,16,3,42,1,,,66
April 2001,18,8,124,,,1,7,,601,130,,,10,27,14,10,10,20,2,8,3,25,6,3,14,,,23,,10,3,23,3,2,2,,17,,101,,42,27,85,309,16,16,16,89,22,49,97,29,1,6,12,11,4,31,4,3,7,9,,7,2,13,3,,5,1,7,6,50,16,51,143,85,52,39,15,7,,24,17,2,37,2,,,67
May 2001,8,19,60,,,1,1,,197,106,1,,12,20,10,6,10,19,2,11,2,23,4,2,12,,,16,,11,3,14,4,5,,,19,,64,,24,22,77,286,12,13,15,62,20,40,89,36,2,7,15,19,14,26,2,4,8,9,,6,8,20,3,,4,1,6,7,44,18,52,139,80,48,38,12,9,,31,16,3,35,2,,,49
June 2001,7,5,55,,1,1,1,,127,81,1,,7,18,7,6,11,20,2,9,1,17,4,5,13,1,,10,1,11,5,11,5,4,1,,11,,62,,20,20,83,287,11,10,11,52,25,38,99,33,3,6,12,17,9,33,2,3,7,8,,7,7,21,2,,4,1,7,5,39,18,53,270,71,50,29,17,10,,25,21,3,43,1,,,58
July 2001,9,5,59,,,1,1,,122,89,1,,8,16,9,4,8,18,2,10,1,16,4,5,13,1,,7,,9,3,6,6,3,1,,12,,67,,19,23,73,260,7,8,8,38,23,39,92,32,2,6,11,21,9,32,2,3,7,9,,8,8,19,2,,3,1,9,4,46,18,50,269,68,46,30,16,9,,22,20,5,37,1,,,61
August 2001,7,8,55,,,1,3,,111,80,2,,7,17,4,3,11,23,2,7,2,19,4,3,15,,,3,,7,4,10,3,2,,,11,,44,,18,22,73,238,10,5,6,38,21,39,66,28,1,9,14,24,11,30,3,3,8,8,1,7,4,14,1,,4,2,9,5,48,13,50,155,64,49,27,16,11,1,23,16,6,27,1,,,50
September 2001,12,7,57,,,1,6,,114,75,3,,8,11,50,3,12,16,2,6,1,21,3,5,16,,,3,,7,1,11,4,3,,,15,,49,,21,25,84,230,18,7,7,48,27,44,79,27,1,8,14,31,8,33,5,3,8,10,,9,8,13,2,,5,4,11,4,38,19,56,134,59,41,34,15,9,,25,7,4,31,1,,,67
October 2001,19,7,63,,,2,3,,131,105,12,,9,14,37,5,10,29,1,6,1,19,4,6,20,,,7,1,4,1,21,5,5,,,18,,84,,41,30,93,273,23,12,12,53,30,51,83,34,4,8,12,34,4,38,5,3,10,15,1,9,8,14,2,,8,3,21,4,44,19,67,127,67,59,37,12,8,,31,8,5,36,1,,,100
November 2001,19,14,90,,,3,7,,172,143,15,,10,20,35,3,10,29,1,7,1,20,9,4,30,,,5,,8,3,22,8,3,,,18,,110,,67,46,92,308,28,11,23,75,33,64,105,40,5,9,14,46,3,49,3,5,8,19,1,10,9,15,2,,9,4,79,8,55,24,73,138,70,61,39,10,10,,31,14,5,39,1,,,133
December 2001,31,20,131,,,2,11,,267,171,11,,11,21,29,3,11,27,1,11,2,20,14,10,39,,,5,,11,6,35,7,4,,,14,,163,,83,57,91,322,30,13,24,99,28,76,117,41,3,10,17,49,4,47,2,5,8,15,1,11,6,18,3,,6,3,92,8,55,29,78,131,72,60,40,10,12,,33,13,4,45,1,,,159
January 2002,44,15,145,,,3,12,,254,202,15,,13,23,19,8,10,45,1,13,3,28,16,15,41,1,,10,1,10,7,44,9,7,,,17,,235,,118,69,101,450,39,14,41,115,37,89,178,48,6,13,18,54,6,55,2,6,8,16,1,12,10,18,3,,13,3,85,5,85,36,91,171,90,76,44,12,12,,34,19,6,52,1,,,199
February 2002,39,20,115,,,4,11,,240,215,16,,16,27,21,11,9,43,1,13,1,35,24,11,45,3,,11,2,9,7,42,9,10,2,,24,,260,,111,73,125,502,42,13,49,107,36,89,182,45,7,16,17,65,8,45,3,5,10,14,,15,13,25,3,,11,3,66,6,85,40,91,179,97,77,43,15,12,,40,20,5,49,1,,,193
March 2002,37,20,120,,,4,11,,227,215,22,,14,27,15,9,13,46,1,12,,37,24,12,47,4,1,10,2,11,8,39,12,8,2,,24,,277,,107,70,137,548,40,12,34,105,40,75,210,49,4,18,18,64,10,42,2,8,13,18,1,16,15,26,3,,13,3,60,7,82,45,95,188,96,82,53,15,12,,39,27,6,56,2,,,169
April 2002,29,13,135,,,3,11,,264,204,19,,19,29,18,10,12,48,1,10,2,37,13,13,47,,,10,2,11,10,35,8,7,1,,19,,252,,94,66,134,539,33,14,30,90,43,76,210,50,4,18,22,71,11,44,6,8,10,19,1,13,13,26,4,,10,2,54,9,80,44,93,193,95,87,54,17,9,,34,28,8,55,2,,,157
May 2002,27,22,153,1,,3,10,,250,195,20,,20,21,15,7,11,49,1,9,4,37,12,5,45,2,,7,2,8,11,31,8,7,2,,24,,210,,88,60,144,544,30,21,28,88,45,66,202,49,4,13,25,69,10,43,8,9,10,18,3,15,14,30,3,,12,4,49,12,84,41,102,209,102,84,72,17,12,2,41,30,8,61,2,,,158
