Month and Year,industries,number
February 2000,Cultivation of crops and animal husbandry; hunting and related service activities,27
February 2000,Forestry and logging,24
February 2000,Fishing and aquaculture,102
February 2000,Coal mining,1
February 2000,Crude oil and natural gas production,1
February 2000,Metallurgy and metallurgy,3
February 2000,Mining and processing of other raw materials from the ground,6
February 2000,Mining services,
February 2000,Food production,291
February 2000,Manufacture of beverages,177
February 2000,Manufacture of textiles,9
February 2000,Clothing making,
February 2000,Manufacture of leather and leather products,7
February 2000,Manufacture of wood and of products of wood and cork; except furniture; manufacture of articles of straw and plaiting materials,24
February 2000,Manufacture of paper and paper products,10
February 2000,Printing and duplication of recorded material,6
February 2000,Production of coke and refined petroleum products,14
February 2000,Manufacture of chemicals and chemical products,24
February 2000,Manufacture of pharmaceutical preparations and preparations,2
February 2000,Manufacture of rubber and plastic products,14
February 2000,Manufacture of non-metallic mineral products,1
February 2000,Manufacture of basic metals,20
February 2000,Manufacture of fabricated metal products; except machinery and equipment,12
February 2000,Manufacture of computer; electronic and optical products,9
February 2000,Manufacture of electrical and household appliances,26
February 2000,Manufacture of other machinery and equipment nec,2
February 2000,Manufacture of motor vehicles and trailers,
February 2000,Manufacture of other vehicles,4
February 2000,Manufacture of furniture and fittings,1
February 2000,Production; nec,9
February 2000,Repair and installation of hardware and equipment,1
February 2000,Electricity; gas and heating utilities; refrigeration and ventilation systems,5
February 2000,Water supply; collection and treatment of water,6
February 2000,Garbage collection; treatment and disposal of waste; material reuse,9
February 2000,Decontamination and other waste treatment services,2
February 2000,Housing construction; development of construction projects,
February 2000,Civil engineering,22
February 2000,Specialized construction activities,
February 2000,Sale; repair and maintenance of motor vehicles and trailers,103
February 2000,Wholesale trade; except of motor vehicles and motorcycles,
February 2000,Retail trade; except of motor vehicles and motorcycles,47
February 2000,Land transport and by pipeline,39
February 2000,Transport by sea and waterways,97
February 2000,Air transportation,344
February 2000,Warehousing and support activities for transport,24
February 2000,Post and courier services,13
February 2000,Operation of accommodation,8
February 2000,Catering and service,78
February 2000,Publishing activities,17
February 2000,Production of films; videos and television material; audio recording and music publishing,61
February 2000,Radio and television broadcasting; programming,113
February 2000,Telecommunications,27
February 2000,Information technology services,3
February 2000,Information service activities,5
February 2000,Financial services; excluding the activities of insurance companies and pension funds,12
February 2000,Insurance companies; reinsurance companies and pension funds; other than compulsory social security,5
February 2000,Activities related to financial services and insurance,2
February 2000,Real estate,46
February 2000,Legal services and accounting,2
February 2000,Headquarters operations; operations consultancy activities,4
February 2000,Activities of architects and engineers; technical tests and analysis,4
February 2000,Scientific research and development,11
February 2000,Advertising and marketing research,
February 2000,Other professional; scientific and technical activities,9
February 2000,Veterinary medicine,6
February 2000,Rental activities; except real estate leasing,6
February 2000,Employment agency,2
February 2000,Travel agencies; tour operators and other booking services,
February 2000,Security and research activities,8
February 2000,Real estate management; cleaning services and ornamental gardening,1
February 2000,Office services and other business services,13
February 2000,Public administration; defense and social security,4
February 2000,Educational activities,77
February 2000,Health care,28
February 2000,Care in residential homes,79
February 2000,Social services without a stay in an institution,173
February 2000,Creative arts and entertainment,138
February 2000,Museum activities and other cultural activities,55
February 2000,Financial risk and betting activities,54
February 2000,Sports and leisure activities,23
February 2000,Activities of NGOs,22
February 2000,Repair of computers and objects for personal and household use,1
February 2000,Other service activities,34
February 2000,Housekeeping with paid staff,27
February 2000,Service activities and home production of various products for personal use,2
February 2000,Activities of extra territorial organisations and bodies,48
February 2000,Working from home,1
February 2000,Student,
February 2000,No work history,
February 2000,Uncertain,98
March 2000,Cultivation of crops and animal husbandry; hunting and related service activities,24
March 2000,Forestry and logging,17
March 2000,Fishing and aquaculture,119
March 2000,Coal mining,1
March 2000,Crude oil and natural gas production,1
March 2000,Metallurgy and metallurgy,3
March 2000,Mining and processing of other raw materials from the ground,4
March 2000,Mining services,
March 2000,Food production,295
March 2000,Manufacture of beverages,151
March 2000,Manufacture of textiles,7
March 2000,Clothing making,
March 2000,Manufacture of leather and leather products,8
March 2000,Manufacture of wood and of products of wood and cork; except furniture; manufacture of articles of straw and plaiting materials,21
March 2000,Manufacture of paper and paper products,9
March 2000,Printing and duplication of recorded material,6
March 2000,Production of coke and refined petroleum products,10
March 2000,Manufacture of chemicals and chemical products,18
March 2000,Manufacture of pharmaceutical preparations and preparations,2
March 2000,Manufacture of rubber and plastic products,16
March 2000,Manufacture of non-metallic mineral products,1
March 2000,Manufacture of basic metals,20
March 2000,Manufacture of fabricated metal products; except machinery and equipment,15
March 2000,Manufacture of computer; electronic and optical products,9
March 2000,Manufacture of electrical and household appliances,22
March 2000,Manufacture of other machinery and equipment nec,1
March 2000,Manufacture of motor vehicles and trailers,
March 2000,Manufacture of other vehicles,3
March 2000,Manufacture of furniture and fittings,1
March 2000,Production; nec,6
March 2000,Repair and installation of hardware and equipment,5
March 2000,Electricity; gas and heating utilities; refrigeration and ventilation systems,6
March 2000,Water supply; collection and treatment of water,4
March 2000,Garbage collection; treatment and disposal of waste; material reuse,10
March 2000,Decontamination and other waste treatment services,3
March 2000,Housing construction; development of construction projects,
March 2000,Civil engineering,23
March 2000,Specialized construction activities,
March 2000,Sale; repair and maintenance of motor vehicles and trailers,107
March 2000,Wholesale trade; except of motor vehicles and motorcycles,
March 2000,Retail trade; except of motor vehicles and motorcycles,53
March 2000,Land transport and by pipeline,46
March 2000,Transport by sea and waterways,100
March 2000,Air transportation,350
March 2000,Warehousing and support activities for transport,24
March 2000,Post and courier services,13
March 2000,Operation of accommodation,10
March 2000,Catering and service,85
March 2000,Publishing activities,20
March 2000,Production of films; videos and television material; audio recording and music publishing,59
March 2000,Radio and television broadcasting; programming,106
March 2000,Telecommunications,20
March 2000,Information technology services,3
March 2000,Information service activities,5
March 2000,Financial services; excluding the activities of insurance companies and pension funds,10
March 2000,Insurance companies; reinsurance companies and pension funds; other than compulsory social security,6
March 2000,Activities related to financial services and insurance,3
March 2000,Real estate,41
March 2000,Legal services and accounting,2
March 2000,Headquarters operations; operations consultancy activities,4
March 2000,Activities of architects and engineers; technical tests and analysis,4
March 2000,Scientific research and development,9
March 2000,Advertising and marketing research,
March 2000,Other professional; scientific and technical activities,12
March 2000,Veterinary medicine,6
March 2000,Rental activities; except real estate leasing,10
March 2000,Employment agency,2
March 2000,Travel agencies; tour operators and other booking services,
March 2000,Security and research activities,8
March 2000,Real estate management; cleaning services and ornamental gardening,2
March 2000,Office services and other business services,13
March 2000,Public administration; defense and social security,7
March 2000,Educational activities,64
March 2000,Health care,23
March 2000,Care in residential homes,77
March 2000,Social services without a stay in an institution,171
March 2000,Creative arts and entertainment,129
March 2000,Museum activities and other cultural activities,53
March 2000,Financial risk and betting activities,54
March 2000,Sports and leisure activities,17
March 2000,Activities of NGOs,22
March 2000,Repair of computers and objects for personal and household use,1
March 2000,Other service activities,33
March 2000,Housekeeping with paid staff,29
March 2000,Service activities and home production of various products for personal use,2
March 2000,Activities of extra territorial organisations and bodies,50
March 2000,Working from home,1
March 2000,Student,
March 2000,No work history,
March 2000,Uncertain,94
April 2000,Cultivation of crops and animal husbandry; hunting and related service activities,19
April 2000,Forestry and logging,17
April 2000,Fishing and aquaculture,81
April 2000,Coal mining,
April 2000,Crude oil and natural gas production,1
April 2000,Metallurgy and metallurgy,2
April 2000,Mining and processing of other raw materials from the ground,2
April 2000,Mining services,
April 2000,Food production,288
April 2000,Manufacture of beverages,155
April 2000,Manufacture of textiles,5
April 2000,Clothing making,
April 2000,Manufacture of leather and leather products,8
April 2000,Manufacture of wood and of products of wood and cork; except furniture; manufacture of articles of straw and plaiting materials,16
April 2000,Manufacture of paper and paper products,10
April 2000,Printing and duplication of recorded material,4
April 2000,Production of coke and refined petroleum products,11
April 2000,Manufacture of chemicals and chemical products,20
April 2000,Manufacture of pharmaceutical preparations and preparations,1
April 2000,Manufacture of rubber and plastic products,16
April 2000,Manufacture of non-metallic mineral products,1
April 2000,Manufacture of basic metals,21
April 2000,Manufacture of fabricated metal products; except machinery and equipment,17
April 2000,Manufacture of computer; electronic and optical products,8
April 2000,Manufacture of electrical and household appliances,18
April 2000,Manufacture of other machinery and equipment nec,1
April 2000,Manufacture of motor vehicles and trailers,
April 2000,Manufacture of other vehicles,3
April 2000,Manufacture of furniture and fittings,2
April 2000,Production; nec,5
April 2000,Repair and installation of hardware and equipment,4
April 2000,Electricity; gas and heating utilities; refrigeration and ventilation systems,7
April 2000,Water supply; collection and treatment of water,5
April 2000,Garbage collection; treatment and disposal of waste; material reuse,9
April 2000,Decontamination and other waste treatment services,2
April 2000,Housing construction; development of construction projects,
April 2000,Civil engineering,22
April 2000,Specialized construction activities,
April 2000,Sale; repair and maintenance of motor vehicles and trailers,79
April 2000,Wholesale trade; except of motor vehicles and motorcycles,
April 2000,Retail trade; except of motor vehicles and motorcycles,47
April 2000,Land transport and by pipeline,33
April 2000,Transport by sea and waterways,95
April 2000,Air transportation,322
April 2000,Warehousing and support activities for transport,22
April 2000,Post and courier services,12
April 2000,Operation of accommodation,7
April 2000,Catering and service,66
April 2000,Publishing activities,22
April 2000,Production of films; videos and television material; audio recording and music publishing,49
April 2000,Radio and television broadcasting; programming,97
April 2000,Telecommunications,24
April 2000,Information technology services,1
April 2000,Information service activities,4
April 2000,Financial services; excluding the activities of insurance companies and pension funds,9
April 2000,Insurance companies; reinsurance companies and pension funds; other than compulsory social security,6
April 2000,Activities related to financial services and insurance,4
April 2000,Real estate,31
April 2000,Legal services and accounting,3
April 2000,Headquarters operations; operations consultancy activities,4
April 2000,Activities of architects and engineers; technical tests and analysis,4
April 2000,Scientific research and development,8
April 2000,Advertising and marketing research,
April 2000,Other professional; scientific and technical activities,12
April 2000,Veterinary medicine,4
April 2000,Rental activities; except real estate leasing,9
April 2000,Employment agency,2
April 2000,Travel agencies; tour operators and other booking services,
April 2000,Security and research activities,8
April 2000,Real estate management; cleaning services and ornamental gardening,2
April 2000,Office services and other business services,12
April 2000,Public administration; defense and social security,5
April 2000,Educational activities,59
April 2000,Health care,19
April 2000,Care in residential homes,75
April 2000,Social services without a stay in an institution,157
April 2000,Creative arts and entertainment,123
April 2000,Museum activities and other cultural activities,57
April 2000,Financial risk and betting activities,49
April 2000,Sports and leisure activities,12
April 2000,Activities of NGOs,23
April 2000,Repair of computers and objects for personal and household use,1
April 2000,Other service activities,30
April 2000,Housekeeping with paid staff,32
April 2000,Service activities and home production of various products for personal use,3
April 2000,Activities of extra territorial organisations and bodies,46
April 2000,Working from home,1
April 2000,Student,
April 2000,No work history,
April 2000,Uncertain,90
May 2000,Cultivation of crops and animal husbandry; hunting and related service activities,16
May 2000,Forestry and logging,14
May 2000,Fishing and aquaculture,58
May 2000,Coal mining,
May 2000,Crude oil and natural gas production,1
May 2000,Metallurgy and metallurgy,1
May 2000,Mining and processing of other raw materials from the ground,1
May 2000,Mining services,
May 2000,Food production,230
May 2000,Manufacture of beverages,119
May 2000,Manufacture of textiles,2
May 2000,Clothing making,
May 2000,Manufacture of leather and leather products,6
May 2000,Manufacture of wood and of products of wood and cork; except furniture; manufacture of articles of straw and plaiting materials,12
May 2000,Manufacture of paper and paper products,7
May 2000,Printing and duplication of recorded material,4
May 2000,Production of coke and refined petroleum products,9
May 2000,Manufacture of chemicals and chemical products,17
May 2000,Manufacture of pharmaceutical preparations and preparations,1
May 2000,Manufacture of rubber and plastic products,12
May 2000,Manufacture of non-metallic mineral products,1
May 2000,Manufacture of basic metals,19
May 2000,Manufacture of fabricated metal products; except machinery and equipment,14
May 2000,Manufacture of computer; electronic and optical products,6
May 2000,Manufacture of electrical and household appliances,15
May 2000,Manufacture of other machinery and equipment nec,1
May 2000,Manufacture of motor vehicles and trailers,
May 2000,Manufacture of other vehicles,5
May 2000,Manufacture of furniture and fittings,
May 2000,Production; nec,2
May 2000,Repair and installation of hardware and equipment,4
May 2000,Electricity; gas and heating utilities; refrigeration and ventilation systems,6
May 2000,Water supply; collection and treatment of water,6
May 2000,Garbage collection; treatment and disposal of waste; material reuse,6
May 2000,Decontamination and other waste treatment services,
May 2000,Housing construction; development of construction projects,
May 2000,Civil engineering,20
May 2000,Specialized construction activities,
May 2000,Sale; repair and maintenance of motor vehicles and trailers,53
May 2000,Wholesale trade; except of motor vehicles and motorcycles,
May 2000,Retail trade; except of motor vehicles and motorcycles,31
May 2000,Land transport and by pipeline,22
May 2000,Transport by sea and waterways,85
May 2000,Air transportation,307
May 2000,Warehousing and support activities for transport,14
May 2000,Post and courier services,11
May 2000,Operation of accommodation,6
May 2000,Catering and service,62
May 2000,Publishing activities,21
May 2000,Production of films; videos and television material; audio recording and music publishing,44
May 2000,Radio and television broadcasting; programming,97
May 2000,Telecommunications,16
May 2000,Information technology services,1
May 2000,Information service activities,6
May 2000,Financial services; excluding the activities of insurance companies and pension funds,7
May 2000,Insurance companies; reinsurance companies and pension funds; other than compulsory social security,7
May 2000,Activities related to financial services and insurance,4
May 2000,Real estate,30
May 2000,Legal services and accounting,3
May 2000,Headquarters operations; operations consultancy activities,4
May 2000,Activities of architects and engineers; technical tests and analysis,5
May 2000,Scientific research and development,8
May 2000,Advertising and marketing research,
May 2000,Other professional; scientific and technical activities,12
May 2000,Veterinary medicine,5
May 2000,Rental activities; except real estate leasing,7
May 2000,Employment agency,3
May 2000,Travel agencies; tour operators and other booking services,
May 2000,Security and research activities,5
May 2000,Real estate management; cleaning services and ornamental gardening,1
May 2000,Office services and other business services,8
May 2000,Public administration; defense and social security,4
May 2000,Educational activities,58
May 2000,Health care,12
May 2000,Care in residential homes,68
May 2000,Social services without a stay in an institution,161
May 2000,Creative arts and entertainment,113
May 2000,Museum activities and other cultural activities,50
May 2000,Financial risk and betting activities,48
May 2000,Sports and leisure activities,14
May 2000,Activities of NGOs,17
May 2000,Repair of computers and objects for personal and household use,
May 2000,Other service activities,35
May 2000,Housekeeping with paid staff,30
May 2000,Service activities and home production of various products for personal use,1
May 2000,Activities of extra territorial organisations and bodies,50
May 2000,Working from home,1
May 2000,Student,
May 2000,No work history,
May 2000,Uncertain,79
June 2000,Cultivation of crops and animal husbandry; hunting and related service activities,12
June 2000,Forestry and logging,7
June 2000,Fishing and aquaculture,51
June 2000,Coal mining,
June 2000,Crude oil and natural gas production,1
June 2000,Metallurgy and metallurgy,1
June 2000,Mining and processing of other raw materials from the ground,2
June 2000,Mining services,
June 2000,Food production,160
June 2000,Manufacture of beverages,118
June 2000,Manufacture of textiles,2
June 2000,Clothing making,
June 2000,Manufacture of leather and leather products,6
June 2000,Manufacture of wood and of products of wood and cork; except furniture; manufacture of articles of straw and plaiting materials,16
June 2000,Manufacture of paper and paper products,7
June 2000,Printing and duplication of recorded material,2
June 2000,Production of coke and refined petroleum products,6
June 2000,Manufacture of chemicals and chemical products,19
June 2000,Manufacture of pharmaceutical preparations and preparations,1
June 2000,Manufacture of rubber and plastic products,11
June 2000,Manufacture of non-metallic mineral products,1
June 2000,Manufacture of basic metals,19
June 2000,Manufacture of fabricated metal products; except machinery and equipment,12
June 2000,Manufacture of computer; electronic and optical products,6
June 2000,Manufacture of electrical and household appliances,9
June 2000,Manufacture of other machinery and equipment nec,
June 2000,Manufacture of motor vehicles and trailers,
June 2000,Manufacture of other vehicles,4
June 2000,Manufacture of furniture and fittings,
June 2000,Production; nec,4
June 2000,Repair and installation of hardware and equipment,3
June 2000,Electricity; gas and heating utilities; refrigeration and ventilation systems,3
June 2000,Water supply; collection and treatment of water,5
June 2000,Garbage collection; treatment and disposal of waste; material reuse,5
June 2000,Decontamination and other waste treatment services,1
June 2000,Housing construction; development of construction projects,
June 2000,Civil engineering,16
June 2000,Specialized construction activities,
June 2000,Sale; repair and maintenance of motor vehicles and trailers,43
June 2000,Wholesale trade; except of motor vehicles and motorcycles,
June 2000,Retail trade; except of motor vehicles and motorcycles,29
June 2000,Land transport and by pipeline,19
June 2000,Transport by sea and waterways,71
June 2000,Air transportation,271
June 2000,Warehousing and support activities for transport,9
June 2000,Post and courier services,9
June 2000,Operation of accommodation,6
June 2000,Catering and service,72
June 2000,Publishing activities,19
June 2000,Production of films; videos and television material; audio recording and music publishing,31
June 2000,Radio and television broadcasting; programming,96
June 2000,Telecommunications,15
June 2000,Information technology services,1
June 2000,Information service activities,4
June 2000,Financial services; excluding the activities of insurance companies and pension funds,12
June 2000,Insurance companies; reinsurance companies and pension funds; other than compulsory social security,5
June 2000,Activities related to financial services and insurance,5
June 2000,Real estate,33
June 2000,Legal services and accounting,5
June 2000,Headquarters operations; operations consultancy activities,4
June 2000,Activities of architects and engineers; technical tests and analysis,5
June 2000,Scientific research and development,9
June 2000,Advertising and marketing research,
June 2000,Other professional; scientific and technical activities,9
June 2000,Veterinary medicine,6
June 2000,Rental activities; except real estate leasing,7
June 2000,Employment agency,3
June 2000,Travel agencies; tour operators and other booking services,
June 2000,Security and research activities,4
June 2000,Real estate management; cleaning services and ornamental gardening,1
June 2000,Office services and other business services,4
June 2000,Public administration; defense and social security,2
June 2000,Educational activities,46
June 2000,Health care,12
June 2000,Care in residential homes,63
June 2000,Social services without a stay in an institution,292
June 2000,Creative arts and entertainment,93
June 2000,Museum activities and other cultural activities,50
June 2000,Financial risk and betting activities,39
June 2000,Sports and leisure activities,11
June 2000,Activities of NGOs,13
June 2000,Repair of computers and objects for personal and household use,
June 2000,Other service activities,30
June 2000,Housekeeping with paid staff,24
June 2000,Service activities and home production of various products for personal use,1
June 2000,Activities of extra territorial organisations and bodies,45
June 2000,Working from home,1
June 2000,Student,
June 2000,No work history,
June 2000,Uncertain,70
July 2000,Cultivation of crops and animal husbandry; hunting and related service activities,16
July 2000,Forestry and logging,7
July 2000,Fishing and aquaculture,48
July 2000,Coal mining,
July 2000,Crude oil and natural gas production,
July 2000,Metallurgy and metallurgy,2
July 2000,Mining and processing of other raw materials from the ground,3
July 2000,Mining services,
July 2000,Food production,159
July 2000,Manufacture of beverages,96
July 2000,Manufacture of textiles,3
July 2000,Clothing making,
July 2000,Manufacture of leather and leather products,2
July 2000,Manufacture of wood and of products of wood and cork; except furniture; manufacture of articles of straw and plaiting materials,17
July 2000,Manufacture of paper and paper products,7
July 2000,Printing and duplication of recorded material,2
July 2000,Production of coke and refined petroleum products,8
July 2000,Manufacture of chemicals and chemical products,20
July 2000,Manufacture of pharmaceutical preparations and preparations,
July 2000,Manufacture of rubber and plastic products,11
July 2000,Manufacture of non-metallic mineral products,1
July 2000,Manufacture of basic metals,22
July 2000,Manufacture of fabricated metal products; except machinery and equipment,10
July 2000,Manufacture of computer; electronic and optical products,6
July 2000,Manufacture of electrical and household appliances,8
July 2000,Manufacture of other machinery and equipment nec,
July 2000,Manufacture of motor vehicles and trailers,
July 2000,Manufacture of other vehicles,3
July 2000,Manufacture of furniture and fittings,
July 2000,Production; nec,4
July 2000,Repair and installation of hardware and equipment,4
July 2000,Electricity; gas and heating utilities; refrigeration and ventilation systems,2
July 2000,Water supply; collection and treatment of water,3
July 2000,Garbage collection; treatment and disposal of waste; material reuse,4
July 2000,Decontamination and other waste treatment services,1
July 2000,Housing construction; development of construction projects,
July 2000,Civil engineering,11
July 2000,Specialized construction activities,
July 2000,Sale; repair and maintenance of motor vehicles and trailers,35
July 2000,Wholesale trade; except of motor vehicles and motorcycles,
July 2000,Retail trade; except of motor vehicles and motorcycles,26
July 2000,Land transport and by pipeline,22
July 2000,Transport by sea and waterways,72
July 2000,Air transportation,256
July 2000,Warehousing and support activities for transport,7
July 2000,Post and courier services,8
July 2000,Operation of accommodation,7
July 2000,Catering and service,60
July 2000,Publishing activities,17
July 2000,Production of films; videos and television material; audio recording and music publishing,23
July 2000,Radio and television broadcasting; programming,84
July 2000,Telecommunications,15
July 2000,Information technology services,1
July 2000,Information service activities,5
July 2000,Financial services; excluding the activities of insurance companies and pension funds,10
July 2000,Insurance companies; reinsurance companies and pension funds; other than compulsory social security,6
July 2000,Activities related to financial services and insurance,4
July 2000,Real estate,30
July 2000,Legal services and accounting,4
July 2000,Headquarters operations; operations consultancy activities,3
July 2000,Activities of architects and engineers; technical tests and analysis,4
July 2000,Scientific research and development,9
July 2000,Advertising and marketing research,
July 2000,Other professional; scientific and technical activities,8
July 2000,Veterinary medicine,4
July 2000,Rental activities; except real estate leasing,5
July 2000,Employment agency,2
July 2000,Travel agencies; tour operators and other booking services,
July 2000,Security and research activities,4
July 2000,Real estate management; cleaning services and ornamental gardening,1
July 2000,Office services and other business services,3
July 2000,Public administration; defense and social security,2
July 2000,Educational activities,39
July 2000,Health care,10
July 2000,Care in residential homes,49
July 2000,Social services without a stay in an institution,304
July 2000,Creative arts and entertainment,95
July 2000,Museum activities and other cultural activities,37
July 2000,Financial risk and betting activities,37
July 2000,Sports and leisure activities,9
July 2000,Activities of NGOs,11
July 2000,Repair of computers and objects for personal and household use,
July 2000,Other service activities,22
July 2000,Housekeeping with paid staff,24
July 2000,Service activities and home production of various products for personal use,1
July 2000,Activities of extra territorial organisations and bodies,43
July 2000,Working from home,1
July 2000,Student,
July 2000,No work history,
July 2000,Uncertain,68
August 2000,Cultivation of crops and animal husbandry; hunting and related service activities,13
August 2000,Forestry and logging,8
August 2000,Fishing and aquaculture,49
August 2000,Coal mining,
August 2000,Crude oil and natural gas production,
August 2000,Metallurgy and metallurgy,1
August 2000,Mining and processing of other raw materials from the ground,3
August 2000,Mining services,
August 2000,Food production,132
August 2000,Manufacture of beverages,81
August 2000,Manufacture of textiles,2
August 2000,Clothing making,
August 2000,Manufacture of leather and leather products,2
August 2000,Manufacture of wood and of products of wood and cork; except furniture; manufacture of articles of straw and plaiting materials,23
August 2000,Manufacture of paper and paper products,5
August 2000,Printing and duplication of recorded material,2
August 2000,Production of coke and refined petroleum products,8
August 2000,Manufacture of chemicals and chemical products,22
August 2000,Manufacture of pharmaceutical preparations and preparations,1
August 2000,Manufacture of rubber and plastic products,12
August 2000,Manufacture of non-metallic mineral products,
August 2000,Manufacture of basic metals,22
August 2000,Manufacture of fabricated metal products; except machinery and equipment,10
August 2000,Manufacture of computer; electronic and optical products,7
August 2000,Manufacture of electrical and household appliances,10
August 2000,Manufacture of other machinery and equipment nec,
August 2000,Manufacture of motor vehicles and trailers,
August 2000,Manufacture of other vehicles,3
August 2000,Manufacture of furniture and fittings,
August 2000,Production; nec,6
August 2000,Repair and installation of hardware and equipment,3
August 2000,Electricity; gas and heating utilities; refrigeration and ventilation systems,3
August 2000,Water supply; collection and treatment of water,3
August 2000,Garbage collection; treatment and disposal of waste; material reuse,3
August 2000,Decontamination and other waste treatment services,1
August 2000,Housing construction; development of construction projects,
August 2000,Civil engineering,13
August 2000,Specialized construction activities,
August 2000,Sale; repair and maintenance of motor vehicles and trailers,32
August 2000,Wholesale trade; except of motor vehicles and motorcycles,
August 2000,Retail trade; except of motor vehicles and motorcycles,18
August 2000,Land transport and by pipeline,19
August 2000,Transport by sea and waterways,60
August 2000,Air transportation,223
August 2000,Warehousing and support activities for transport,12
August 2000,Post and courier services,10
August 2000,Operation of accommodation,6
August 2000,Catering and service,57
